Player,Hands,Result,RakePaid,1kRakeback,5kRakeback,>5kRakeback,Cumulative,winrate,Rbwinrate,rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 672,495,32.89,68.17,6.817,0,0,6.82,6.644444444,8.022222222,0.20735786,1,1,1,1
Player 673,494,-315.07,44.13,4.413,0,0,4.41,-63.77935223,-62.88663968,0.01399689,0,0,0,0
Player 674,493,183.44,56.22,5.622,0,0,5.62,37.20892495,38.34888438,0.03063672,1,1,1,1
Player 675,492,-280.43,52.34,5.234,0,0,5.23,-56.99796748,-55.93495935,0.01864993,0,0,0,0
Player 676,492,-324.48,77.05,7.705,0,0,7.71,-65.95121951,-64.38414634,0.023761095,0,0,0,0
Player 677,491,42.87,45.55,4.555,0,0,4.56,8.731160896,9.6598778,0.10636809,1,1,1,1
Player 678,490,-163.08,45.15,4.515,0,0,4.52,-33.28163265,-32.35918367,0.027716458,0,0,0,0
Player 679,488,-221.94,37.01,3.701,0,0,3.7,-45.4795082,-44.72131148,0.016671172,0,0,0,0
Player 680,486,59.65,61.84,6.184,0,0,6.18,12.27366255,13.54526749,0.103604359,1,1,1,1
Player 681,485,-273.08,23.05,2.305,0,0,2.31,-56.30515464,-55.82886598,0.00845906,0,0,0,0
Player 682,485,-129.31,55.85,5.585,0,0,5.59,-26.66185567,-25.50927835,0.043229449,0,0,0,0
Player 683,483,-208.66,36.19,3.619,0,0,3.62,-43.20082816,-42.45134576,0.017348797,0,0,0,0
Player 684,483,-319.4,55.94,5.594,0,0,5.59,-66.12836439,-64.97101449,0.017501565,0,0,0,0
Player 685,482,93.52,42.87,4.287,0,0,4.29,19.40248963,20.29253112,0.045872541,1,1,1,1
Player 686,481,-69.83,61.95,6.195,0,0,6.2,-14.51767152,-13.22869023,0.088787054,0,0,0,0
Player 687,481,-159.64,44.33,4.433,0,0,4.43,-33.18918919,-32.26819127,0.027749937,0,0,0,0
Player 688,480,-246.29,23.14,2.314,0,0,2.31,-51.31041667,-50.82916667,0.009379187,0,0,0,0
Player 689,479,-422,32.7,3.27,0,0,3.27,-88.10020877,-87.41753653,0.007748815,0,0,0,0
Player 690,478,-152.89,13.58,1.358,0,0,1.36,-31.98535565,-31.70083682,0.008895284,0,0,0,0
Player 691,477,-21.6,39.57,3.957,0,0,3.96,-4.528301887,-3.698113208,0.183333333,0,0,0,0
Player 692,476,194.45,34.2,3.42,0,0,3.42,40.85084034,41.56932773,0.017588069,1,1,1,1
Player 693,475,562.37,115.31,11.531,0,0,11.53,118.3936842,120.8210526,0.020502516,1,1,1,1
Player 694,474,-307.02,17.83,1.783,0,0,1.78,-64.7721519,-64.39662447,0.005797668,0,0,0,0
Player 695,473,-71.16,41.8,4.18,0,0,4.18,-15.04439746,-14.16067653,0.058740866,0,0,0,0
Player 696,472,-907.09,26.23,2.623,0,0,2.62,-192.1800847,-191.625,0.002888357,0,0,0,0
Player 697,472,-495.76,95.2,9.52,0,0,9.52,-105.0338983,-103.0169492,0.01920284,0,0,0,0
Player 698,471,-495.82,41.13,4.113,0,0,4.11,-105.2696391,-104.3970276,0.008289299,0,0,0,0
Player 699,470,30.81,21.55,2.155,0,0,2.16,6.555319149,7.014893617,0.070107108,1,1,1,1
Player 700,470,-329.48,86.47,8.647,0,0,8.65,-70.10212766,-68.26170213,0.02625349,0,0,0,0
Player 701,469,-189.82,32.75,3.275,0,0,3.28,-40.47334755,-39.77398721,0.017279528,0,0,0,0
Player 702,468,-158.18,34.94,3.494,0,0,3.49,-33.7991453,-33.0534188,0.022063472,0,0,0,0
Player 703,467,-113.01,109.24,10.924,0,0,10.92,-24.19914347,-21.8608137,0.096628617,0,0,0,0
Player 704,466,-196.06,28.97,2.897,0,0,2.9,-42.07296137,-41.45064378,0.01479139,0,0,0,0
Player 705,465,-556.36,35.82,3.582,0,0,3.58,-119.6473118,-118.8774194,0.006434683,0,0,0,0
Player 706,464,-289.76,36.57,3.657,0,0,3.66,-62.44827586,-61.65948276,0.012631143,0,0,0,0
Player 707,463,-265.76,38.04,3.804,0,0,3.8,-57.39956803,-56.57883369,0.014298615,0,0,0,0
Player 708,463,-91.17,25.97,2.597,0,0,2.6,-19.69114471,-19.12958963,0.028518153,0,0,0,0
