,Hands,Result,Rake Paid
Player 678,490,-163.08,45.15
Player 679,488,-221.94,37.01
Player 680,486,59.65,61.84
Player 681,485,-273.08,23.05
Player 682,485,-129.31,55.85
Player 683,483,-208.66,36.19
Player 684,483,-319.4,55.94
Player 685,482,93.52,42.87
Player 686,481,-69.83,61.95
Player 687,481,-159.64,44.33
Player 688,480,-246.29,23.14
Player 689,479,-422,32.7
Player 690,478,-152.89,13.58
Player 691,477,-21.6,39.57
Player 692,476,194.45,34.2
Player 693,475,562.37,115.31
Player 694,474,-307.02,17.83
Player 695,473,-71.16,41.8
Player 696,472,-907.09,26.23
Player 697,472,-495.76,95.2
Player 698,471,-495.82,41.13
Player 699,470,30.81,21.55
Player 700,470,-329.48,86.47
Player 701,469,-189.82,32.75
Player 702,468,-158.18,34.94
Player 703,467,-113.01,109.24
Player 704,466,-196.06,28.97
Player 705,465,-556.36,35.82
Player 706,464,-289.76,36.57
Player 707,463,-265.76,38.04
Player 708,463,-91.17,25.97
Player 709,462,474.37,105.23
Player 710,461,-5.98,41.53
Player 711,460,-681.4,67.45
Player 712,459,61.93,37.91
Player 713,459,-301.33,73.68
Player 714,458,-73.03,36.91
Player 715,457,5.55,72.25
Player 716,456,-85.55,85.42
Player 717,456,-402.31,53.17
Player 718,455,-507.12,17.81
Player 719,454,-133.87,75.71
Player 720,453,-206.26,29.48
Player 721,453,-210.61,43.21
Player 722,452,-183.2,61.58
Player 723,451,-245.08,71.34
Player 724,450,51.13,52.95
Player 725,449,-189.87,25.91
Player 726,449,-90.3,44.74
Player 727,448,-264.14,34.91
Player 728,447,-273.31,55.2
Player 729,447,-131.67,73.53
Player 730,446,-366.36,80.81
Player 731,445,-157.26,31.01
Player 732,444,-37.41,25.09
Player 733,443,-63.47,61.01
Player 734,443,-14.97,28.03
Player 735,442,108.01,53.85
Player 736,441,-143.89,31.69
Player 737,441,-306.33,43.42
Player 738,440,-46.39,59.06
Player 739,439,-464.53,85.36
Player 740,438,188.27,58.16
Player 741,438,128.89,46.06
Player 742,437,-197.75,38.31
Player 743,436,-81.29,28.09
Player 744,435,-156.49,31.08
Player 745,435,244.06,47.46
Player 746,434,-107.67,46.42
Player 747,433,-296.94,37.17
Player 748,432,137.37,47
Player 749,431,-134.05,20.91
Player 750,430,-56.38,35.64
Player 751,430,-71.41,40.49
Player 752,429,-63.29,14.97
Player 753,428,-442.79,50.2
Player 754,427,-670.38,50.43
Player 755,426,173.34,30.23
Player 756,426,-315.51,40.29
Player 757,425,-401.73,53.69
Player 758,425,145.02,74.64
Player 759,424,409.62,53.53
Player 760,423,196.36,37.38
Player 761,422,26.43,68
Player 762,421,-31.8,34.63
Player 763,420,-1165.32,90.47
Player 764,419,-186.54,27.89
Player 765,419,-101.65,39.92
Player 766,418,-17.1,62.44
Player 767,417,-282.55,47.46
Player 768,416,-307.06,53.06
Player 769,415,465.56,100.96
Player 770,415,60.23,31.38
Player 771,415,-279.06,48.29
Player 772,414,66.68,36.21
Player 773,413,-114.72,22.96
Player 774,412,199.62,69.25
Player 775,411,-60.07,60.37
Player 776,410,-97.33,73.53
Player 777,409,-391.98,31.14
Player 778,409,-149.42,28.09
Player 779,408,-72.41,51.36
Player 780,407,-297.18,86.93
Player 781,406,-228.96,74.59
Player 782,405,218.27,63.18
Player 783,405,-145.82,27.83
Player 784,405,28.79,49.35
Player 785,405,-293.07,53.97
Player 786,404,-340.25,70.28
Player 787,403,177.25,50.77
Player 788,403,454.6,42.35
Player 789,402,-118.38,36.78
Player 790,401,-100.7,18.77
Player 791,401,-6.11,35.76
Player 792,400,-254.81,39.78
Player 793,400,206.27,83.43
Player 794,399,-240.21,15.33
Player 795,399,-204.85,33.27
Player 796,398,-137.61,60.84
Player 797,397,-100.95,45.77
Player 798,396,-493.24,64.55
Player 799,396,-158.03,56.41
Player 800,396,158.54,26.54
Player 801,395,-231.87,53.31
Player 802,394,-461.13,11.57
Player 803,394,-121.97,27.63
Player 804,393,-761.91,134.54
Player 805,392,-544.79,42.29
Player 806,391,184.63,25.93
Player 807,391,-282.41,66.81
Player 808,390,-169.51,18.28
Player 809,389,-102.17,51.02
Player 810,389,87.95,31.44
Player 811,388,-217.88,52.22
Player 812,388,-28.81,34.05
Player 813,387,-150.29,54.38
Player 814,386,60.32,70.89
Player 815,386,-277.25,30.94
Player 816,385,-163.3,37.17
Player 817,384,396.96,67.04
Player 818,384,-214.36,20.45
Player 819,383,65.53,69.23
Player 820,383,-667.84,51.25
Player 821,382,-87.93,24.23
Player 822,382,-55.41,28.29
Player 823,381,-98.91,42.51
Player 824,380,-78.8,16.6
Player 825,379,115.49,54.6
Player 826,378,-108.81,58.87
Player 827,378,-71.64,91.65
Player 828,377,-652.19,41.47
Player 829,377,-97.59,31.96
Player 830,376,116.14,26.11
Player 831,375,-161.7,46.21
Player 832,374,-168.03,68.96
Player 833,374,-334.91,24.73
Player 834,373,-42,80.37
Player 835,372,-64.16,53.44
Player 836,372,-180.4,30.5
Player 837,371,-389.54,34.42
Player 838,371,-193.42,30.08
Player 839,370,-428.99,37.6
Player 840,370,16.14,29.22
Player 841,369,141.27,69.5
Player 842,369,176.74,42.44
Player 843,368,-164.64,23.82
Player 844,368,-215.21,39.13
Player 845,368,17.79,29.58
Player 846,367,-222.76,26.38
Player 847,366,-41.82,24.16
Player 848,366,-225.98,56.93
Player 849,366,-338.87,31.87
Player 850,365,-4.67,46.9
Player 851,365,-388.99,58.84
Player 852,364,208.51,45.52
