Player,Hands,Result,RakePaid,FlatRB,winrate,Rbwinrate,Rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 427,868,423.54,130.7,26.14,48.79493088,51.80645161,0.061717901,1,1,1,1
Player 428,867,-162.16,53.4,10.68,-18.70357555,-17.47174164,0.065860878,0,0,0,1
Player 429,864,-222.58,91.95,18.39,-25.76157407,-23.63310185,0.082621979,0,0,0,1
Player 430,863,-342.01,63.88,12.776,-39.63035921,-38.14994206,0.037355633,0,0,0,1
Player 431,860,-64.33,103.8,20.76,-7.480232558,-5.06627907,0.322711021,0,0,0,1
Player 432,858,-54.1,84.41,16.882,-6.305361305,-4.337762238,0.312051756,0,0,0,1
Player 433,855,-524.54,73.62,14.724,-61.3497076,-59.62760234,0.028070309,0,0,0,1
Player 434,852,-143.46,109.41,21.882,-16.83802817,-14.26971831,0.152530322,0,0,0,1
Player 435,850,54.78,62.48,12.496,6.444705882,7.914823529,0.22811245,1,1,1,1
Player 436,848,-166.02,174.14,34.828,-19.57783019,-15.47075472,0.209781954,0,0,0,1
Player 437,845,25.15,115.18,23.036,2.976331361,5.702485207,0.915944334,1,1,1,1
Player 438,843,-797.58,162.98,32.596,-94.61209964,-90.74543298,0.040868628,0,0,0,1
Player 439,842,-475.19,124.49,24.898,-56.43586698,-53.47885986,0.052395884,0,0,0,1
Player 440,838,-551.19,76.4,15.28,-65.77446301,-63.95107399,0.027721838,0,0,0,1
Player 441,836,-406.26,121.02,24.204,-48.59569378,-45.70047847,0.05957761,0,0,0,1
Player 442,834,-102.74,97.57,19.514,-12.31894484,-9.979136691,0.18993576,0,0,0,1
Player 443,832,-1458.7,198.01,39.602,-175.3245192,-170.5646635,0.027148831,0,0,0,1
Player 444,829,-487.43,157.73,31.546,-58.7973462,-54.9920386,0.064719037,0,0,0,1
Player 445,827,-15.09,80.52,16.104,-1.824667473,0.12261185,1.067196819,0,1,1,1
Player 446,823,220.51,61.92,12.384,26.79343864,28.2981774,0.056160718,1,1,1,1
Player 447,822,-450.55,78.68,15.736,-54.81143552,-52.89708029,0.034926201,0,0,0,1
Player 448,820,-39.12,87.45,17.49,-4.770731707,-2.637804878,0.44708589,0,0,0,1
Player 449,817,-144.58,85.18,17.036,-17.69645043,-15.61126071,0.117830959,0,0,0,1
Player 450,814,-157.29,40.73,8.146,-19.32309582,-18.32235872,0.051789688,0,0,0,1
Player 451,812,-194.36,108.61,21.722,-23.93596059,-21.26083744,0.111761679,0,0,0,1
Player 452,809,4.46,90.58,18.116,0.551297899,2.790605686,4.061883405,1,1,1,1
Player 453,806,-381.13,99.96,19.992,-47.2866005,-44.80620347,0.052454543,0,0,0,1
Player 454,803,-409.32,91.6,18.32,-50.97384807,-48.69240349,0.044757158,0,0,0,1
Player 455,801,-10.63,48.21,9.642,-1.327091136,-0.123345818,0.907055503,0,0,0,1
Player 456,799,-127.49,38.47,7.694,-15.95619524,-14.99324155,0.060349831,0,0,0,1
Player 457,797,-514.32,39.48,7.896,-64.53199498,-63.5412798,0.01535231,0,0,0,1
Player 458,795,-135.19,77.21,15.442,-17.00503145,-15.06264151,0.114224425,0,0,0,1
Player 459,794,-74.88,77.54,15.508,-9.430730479,-7.477581864,0.207104701,0,0,0,1
Player 460,792,-171.78,112.47,22.494,-21.68939394,-18.84924242,0.13094656,0,0,0,1
Player 461,790,-108.88,71.33,14.266,-13.78227848,-11.9764557,0.131024981,0,0,0,1
Player 462,787,47.19,49.95,9.99,5.996188056,7.265565438,0.211697393,1,1,1,1
Player 463,784,-747.99,123.86,24.772,-95.40688776,-92.24719388,0.03311809,0,0,0,1
Player 464,781,-256.81,29.82,5.964,-32.8822023,-32.11856594,0.023223395,0,0,0,1
Player 465,779,-337.11,60.36,12.072,-43.27471117,-41.72503209,0.03581027,0,0,0,1
Player 466,777,-620.24,114.33,22.866,-79.82496782,-76.88211068,0.036866374,0,0,0,1
Player 467,774,-73.74,72.19,14.438,-9.527131783,-7.661757106,0.19579604,0,0,0,1
Player 468,773,-626.08,66.94,13.388,-80.99353169,-79.26157827,0.021383849,0,0,0,1
Player 469,771,-462.18,70.34,14.068,-59.94552529,-58.12088197,0.030438357,0,0,0,1
Player 470,769,-337.45,127.44,25.488,-43.8816645,-40.56723017,0.07553119,0,0,0,1
Player 471,767,-114.64,71.01,14.202,-14.94654498,-13.09491525,0.123883462,0,0,0,1
Player 472,765,3.37,117.06,23.412,0.440522876,3.500915033,6.947181006,1,1,1,1
Player 473,764,-370.29,78.11,15.622,-48.46727749,-46.42251309,0.042188555,0,0,0,1
Player 474,762,-805.68,115.11,23.022,-105.7322835,-102.7110236,0.028574621,0,0,0,1
Player 475,761,16.4,54.05,10.81,2.155059133,3.575558476,0.659146341,1,1,1,1
Player 476,759,-1157.92,83.92,16.784,-152.5586298,-150.3472991,0.014494956,0,0,0,1
